APPLUS Ebene;APPLUS Bezeichnung ;APPLUS Artikelnummer;Anzahl;APPLUS ME;APPLUS Artikelgruppe;APPLUS Profillänge;APPLUS Plattenfläche;APPLUS Meterwarenlänge;APPLUS Fliesenfläche;APPLUS Standardprofillänge;APPLUS Standardplattenfläche;APPLUS Einkauf;APPLUS Lager;APPLUS Fertigung;APPLUS Auftrag;APPLUS Lieferzeit;APPLUS Plattenbreite;APPLUS Plattenlänge;Familie;Kommentare
4;Profil- UA-Ständerprofil 5129 (Z2181) ;1102371;1;Stück;Profil;2181;;;;2500;;1;1;0;0;20;;;APPLUS 5129 _UA50-20_Ständer;Wand 4 Profile
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;;;5000;;1;1;0;0;20;;;APPLUS 4710_97-50-15_Ständer;Wand 2 Profile
4;Profil- UA-Ständerprofil 5129 (Z2181) ;1102371;1;Stück;Profil;2181;;;;2500;;1;1;0;0;20;;;APPLUS 5129 _UA50-20_Ständer;Wand 2 Profile
4;Profil- UA-Ständerprofil 5129 (Z2181) ;1102371;1;Stück;Profil;2181;;;;2500;;1;1;0;0;20;;;APPLUS 5129 _UA50-20_Ständer;Wand 2 Profile
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;;;5000;;1;1;0;0;20;;;APPLUS 4710_97-50-15_Ständer;Wand 2 Profile
4;Platte- GK-Platte Weather Defence (1200 x 1907);1001960;1;Stück;Platte;;2,2884;;;;3;1;1;0;0;10;1907;1200;Basiswand;Wand 4 WD
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;3;;;;3,125;1;1;0;0;10;1250;2400;Basiswand;Wand 3 OSB 3 IW
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;3;;;;3,125;1;1;0;0;10;1250;2400;Basiswand;Wand 3 OSB 3 IW
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;0,9699;;;;3,125;1;1;0;0;10;1250;2400;Basiswand;Wand 1 OSB 3 IW
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,5;;;;3,125;1;1;0;0;10;1250;2400;Basiswand;Wand 1 OSB 3 IW
4;Platte- Standardplatte OSB 3 (2400 x 1138);10020999;1;Stück;Platte;;2,7312;;;;3,125;1;1;0;0;10;1138;2400;Basiswand;Wand 4 OSB 3 IW
4;Platte- Standardplatte OSB 3 (2400 x 645);10020999;1;Stück;Platte;;1,548;;;;3,125;1;1;0;0;10;645;2400;Basiswand;Wand 4 OSB 3 IW
4;Platte- Standardplatte OSB 3 (2400 x 1143);10020999;1;Stück;Platte;;2,7432;;;;3,125;1;1;0;0;10;1143;2400;Basiswand;Wand 4 OSB 3 IW
4;Platte- Standardplatte OSB 3 (2400 x 558);10020999;1;Stück;Platte;;1,3392;;;;3,125;1;1;0;0;10;558;2400;Basiswand;Wand 4 OSB 3 IW
4;Platte- Standardplatte OSB 3 (2400 x 1230);10020999;1;Stück;Platte;;2,9508;;;;3,125;1;1;0;0;10;1230;2400;Basiswand;Wand 4 OSB 3 IW
4;Platte- Standardplatte OSB 3 (2400 x 514);10020999;1;Stück;Platte;;1,2324;;;;3,125;1;1;0;0;10;514;2400;Basiswand;Wand 4 OSB 3 IW
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;3;;;;3,125;1;1;0;0;10;1250;2400;Basiswand;Wand 4 OSB 3 AW
4;Platte- Standardplatte OSB 3 (2400 x 645);10020999;1;Stück;Platte;;1,548;;;;3,125;1;1;0;0;10;645;2400;Basiswand;Wand 4 OSB 3 AW
4;Platte- Standardplatte OSB 3 (2400 x 1143);10020999;1;Stück;Platte;;2,7432;;;;3,125;1;1;0;0;10;1143;2400;Basiswand;Wand 4 OSB 3 AW
4;Platte- Standardplatte OSB 3 (2400 x 558);10020999;1;Stück;Platte;;1,3392;;;;3,125;1;1;0;0;10;558;2400;Basiswand;Wand 4 OSB 3 AW
4;Platte- Standardplatte OSB 3 (2400 x 1230);10020999;1;Stück;Platte;;2,952;;;;3,125;1;1;0;0;10;1230;2400;Basiswand;Wand 4 OSB 3 AW
4;Platte- Standardplatte OSB 3 (2400 x 625);10020999;1;Stück;Platte;;1,5;;;;3,125;1;1;0;0;10;625;2400;Basiswand;Wand 4 OSB 3 AW
4;Platte- GK-Platte Weather Defence (1200 x 1907);1001960;1;Stück;Platte;;2,2884;;;;3;1;1;0;0;10;1907;1200;Basiswand;Wand 4 WD
4;Platte- GK-Platte Weather Defence (1200 x 1701);1001960;1;Stück;Platte;;2,0412;;;;3;1;1;0;0;10;1701;1200;Basiswand;Wand 4 WD
4;Platte- GK-Platte Weather Defence (1200 x 1701);1001960;1;Stück;Platte;;2,0412;;;;3;1;1;0;0;10;1701;1200;Basiswand;Wand 4 WD
4;Platte- GK-Platte Weather Defence (1200 x 1867);1001960;1;Stück;Platte;;2,2404;;;;3;1;1;0;0;10;1867;1200;Basiswand;Wand 4 WD
4;Platte- Standardplatte OSB 3 (2400 x 738);10020999;1;Stück;Platte;;1,77;;;;3,125;1;1;0;0;10;738;2400;Basiswand;Wand 3 OSB 3 AW
4;Platte- Standardplatte OSB 3 (2400 x 738);10020999;1;Stück;Platte;;1,77;;;;3,125;1;1;0;0;10;738;2400;Basiswand;Wand 3 OSB 3 AW
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;3;;;;3,125;1;1;0;0;10;1250;2400;Basiswand;Wand 3 OSB 3 AW
4;Platte- GK-Platte Weather Defence (1200 x 2000);1001960;1;Stück;Platte;;2,4;;;;3;1;1;0;0;10;2000;1200;Basiswand;Wand 3 WD
4;Platte- GK-Platte Weather Defence (1200 x 750);1001960;1;Stück;Platte;;0,9;;;;3;1;1;0;0;10;750;1200;Basiswand;Wand 3 WD
4;Platte- GK-Platte Weather Defence (1200 x 2000);1001960;1;Stück;Platte;;2,4;;;;3;1;1;0;0;10;2000;1200;Basiswand;Wand 3 WD
4;Platte- GK-Platte Weather Defence (1200 x 750);1001960;1;Stück;Platte;;0,9;;;;3;1;1;0;0;10;750;1200;Basiswand;Wand 3 WD
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;1,676806;;;;3,125;1;1;0;0;10;1250;2400;Basiswand;Wand 1 OSB 3 AW
4;Platte- Standardplatte OSB 3 (2400 x 738);10020999;1;Stück;Platte;;1,498313;;;;3,125;1;1;0;0;10;738;2400;Basiswand;Wand 1 OSB 3 AW
4;Platte- Standardplatte OSB 3 (2400 x 738);10020999;1;Stück;Platte;;0,733469;;;;3,125;1;1;0;0;10;738;2400;Basiswand;Wand 1 OSB 3 AW
4;Platte- GK-Platte Weather Defence (1200 x 1490);1001960;1;Stück;Platte;;1,788;;;;3;1;1;0;0;10;1490;1200;Basiswand;Wand 1 WD
4;Platte- GK-Platte Weather Defence (1200 x 1375);1001960;1;Stück;Platte;;1,15;;;;3;1;1;0;0;10;1375;1200;Basiswand;Wand 1 WD
4;Platte- GK-Platte Weather Defence (1200 x 1375);1001960;1;Stück;Platte;;0,8319;;;;3;1;1;0;0;10;1375;1200;Basiswand;Wand 1 WD
4;Platte- GK-Platte Weather Defence (1200 x 250);1001960;1;Stück;Platte;;0,3;;;;3;1;1;0;0;10;250;1200;Basiswand;Wand 1 WD
4;Platte- Standardplatte OSB 3 (2400 x 369);10020999;1;Stück;Platte;;0,37185;;;;3,125;1;1;0;0;10;369;2400;Basiswand;Wand 2 OSB 3 IW
4;Platte- Standardplatte OSB 3 (2400 x 1082);10020999;1;Stück;Platte;;1,07805;;;;3,125;1;1;0;0;10;1082;2400;Basiswand;Wand 2 OSB 3 IW
4;Platte- Standardplatte OSB 3 (2400 x 417);10020999;1;Stück;Platte;;0,711394;;;;3,125;1;1;0;0;10;417;2400;Basiswand;Wand 2 OSB 3 AW
4;Platte- Standardplatte OSB 3 (2400 x 1106);10020999;1;Stück;Platte;;0,848119;;;;3,125;1;1;0;0;10;1106;2400;Basiswand;Wand 2 OSB 3 AW
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,5023;;;;3,125;1;1;0;0;10;1250;2400;Basiswand;Wand 2 OSB 3 AW
4;Platte- Standardplatte OSB 3 (2400 x 561);10020999;1;Stück;Platte;;1,188359;;;;3,125;1;1;0;0;10;561;2400;Basiswand;Wand 2 OSB 3 AW
4;Profil- C-Ständerprofil 4710 (Z253) ;1002266;1;Stück;Profil;253;;;;5000;;1;1;0;0;20;;;APPLUS 4710_97-50-15_Ständer;Wand 2 Profile
4;Profil- C-Ständerprofil 4710 (Z1383) ;1002266;1;Stück;Profil;1383;;;;5000;;1;1;0;0;20;;;APPLUS 4710_97-50-15_Ständer;Wand 2 Profile
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,531356;;;;3,125;1;1;0;0;10;1250;2400;Basiswand;Wand 2 OSB 3 IW
4;Profil- C-Ständerprofil 4710 (Z253) ;1002266;1;Stück;Profil;253;;;;5000;;1;1;0;0;20;;;APPLUS 4710_97-50-15_Ständer;Wand 2 Profile
4;Platte- Standardplatte OSB 3 (2400 x 562);10020999;1;Stück;Platte;;1,205453;;;;3,125;1;1;0;0;10;562;2400;Basiswand;Wand 2 OSB 3 IW
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,503239;;;;3,125;1;1;0;0;10;1250;2400;Basiswand;Wand 2 OSB 3 AW
4;Profil- C-Ständerprofil 4710 (Z253) ;1002266;1;Stück;Profil;253;;;;5000;;1;1;0;0;20;;;APPLUS 4710_97-50-15_Ständer;Wand 2 Profile
4;Platte- Standardplatte OSB 3 (2400 x 868);10020999;1;Stück;Platte;;1,923202;;;;3,125;1;1;0;0;10;868;2400;Basiswand;Wand 2 OSB 3 AW
4;Profil- C-Ständerprofil 4710 (Z253) ;1002266;1;Stück;Profil;253;;;;5000;;1;1;0;0;20;;;APPLUS 4710_97-50-15_Ständer;Wand 2 Profile
4;Platte- Standardplatte OSB 3 (2400 x 715);10020999;1;Stück;Platte;;1,495741;;;;3,125;1;1;0;0;10;715;2400;Basiswand;Wand 2 OSB 3 IW
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,60725;;;;3,125;1;1;0;0;10;1250;2400;Basiswand;Wand 2 OSB 3 IW
4;Platte- GK-Platte Weather Defence (1200 x 238);1001960;1;Stück;Platte;;0,285;;;;3;1;1;0;0;10;238;1200;Basiswand;Wand 2 WD
4;Platte- GK-Platte Weather Defence (1200 x 287);1001960;1;Stück;Platte;;0,3438;;;;3;1;1;0;0;10;287;1200;Basiswand;Wand 2 WD
4;Platte- GK-Platte Weather Defence (1200 x 1534);1001960;1;Stück;Platte;;1,0227;;;;3;1;1;0;0;10;1534;1200;Basiswand;Wand 2 WD
4;Platte- GK-Platte Weather Defence (1200 x 1811);1001960;1;Stück;Platte;;2,173454;;;;3;1;1;0;0;10;1811;1200;Basiswand;Wand 2 WD
4;Platte- GK-Platte Weather Defence (1200 x 1811);1001960;1;Stück;Platte;;1,560954;;;;3;1;1;0;0;10;1811;1200;Basiswand;Wand 2 WD
4;Platte- GK-Platte Weather Defence (1200 x 2130);1001960;1;Stück;Platte;;2,555746;;;;3;1;1;0;0;10;2130;1200;Basiswand;Wand 2 WD
4;Platte- GK-Platte Weather Defence (1200 x 2130);1001960;1;Stück;Platte;;1,943246;;;;3;1;1;0;0;10;2130;1200;Basiswand;Wand 2 WD
4;Profil- C-Ständerprofil 4710 (Z1383) ;1002266;1;Stück;Profil;1383;;;;5000;;1;1;0;0;20;;;APPLUS 4710_97-50-15_Ständer;Wand 2 Profile
4;Profil- C-Ständerprofil 4710 (Z1383) ;1002266;1;Stück;Profil;1383;;;;5000;;1;1;0;0;20;;;APPLUS 4710_97-50-15_Ständer;Wand 2 Profile
4;Profil- C-Ständerprofil 4710 (Z1383) ;1002266;1;Stück;Profil;1383;;;;5000;;1;1;0;0;20;;;APPLUS 4710_97-50-15_Ständer;Wand 2 Profile
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;;;3;1;1;0;0;10;112;525;Basiswand;Wand 2 Laibung
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;;;3;1;1;0;0;10;112;525;Basiswand;Wand 2 Laibung
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;;;3;1;1;0;0;10;112;525;Basiswand;Wand 2 Laibung
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;;;3;1;1;0;0;10;112;525;Basiswand;Wand 2 Laibung
4;Platte- GK-Platte Weather Defence (2021 x 112);1001960;1;Stück;Platte;;0,226352;;;;3;1;1;0;0;10;112;2021;Basiswand;Wand 2 Laibung
4;Platte- GK-Platte Weather Defence (2021 x 112);1001960;1;Stück;Platte;;0,226352;;;;3;1;1;0;0;10;112;2021;Basiswand;Wand 2 Laibung
4;Platte- GK-Platte Weather Defence (2021 x 112);1001960;1;Stück;Platte;;0,226352;;;;3;1;1;0;0;10;112;2021;Basiswand;Wand 1 Laibung
4;Platte- GK-Platte Weather Defence (2021 x 112);1001960;1;Stück;Platte;;0,226352;;;;3;1;1;0;0;10;112;2021;Basiswand;Wand 1 Laibung
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;;;3;1;1;0;0;10;112;525;Basiswand;Wand 1 Laibung
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;;;3;1;1;0;0;10;112;525;Basiswand;Wand 1 Laibung
4;Profil- U-Ringankerprofil 4610 (Z1542) ;1000010;1;Stück;Profil;1542;;;;5000;;1;1;0;0;20;;;APPLUS 4610_175-100-175;Wand 2 Profile
4;Profil- U-Ringankerprofil 4610 (Z1812) ;1000010;1;Stück;Profil;1812;;;;5000;;1;1;0;0;20;;;APPLUS 4610_175-100-175;Wand 2 Profile
4;Profil-4410 (Z1812) ;1000009;1;Stück;Profil;1812;;;;5000;;1;1;0;0;20;;;APPLUS 4410_100-40-15_liegend;Wand 2 Profile
4;Profil-4410 (Z2097) ;1000009;1;Stück;Profil;2097;;;;5000;;1;1;0;0;20;;;APPLUS 4410_100-40-15_liegend;Wand 2 Profile
4;Profil-4410 (Z1875) ;1000009;1;Stück;Profil;1875;;;;5000;;1;1;0;0;20;;;APPLUS 4410_100-40-15_liegend;Wand 4 Profile
4;Profil-4410 (Z1701) ;1000009;1;Stück;Profil;1701;;;;5000;;1;1;0;0;20;;;APPLUS 4410_100-40-15_liegend;Wand 4 Profile
4;Platte- GK-Platte Weather Defence (1200 x 1867);1001960;1;Stück;Platte;;2,2404;;;;3;1;1;0;0;10;1867;1200;Basiswand;Wand 4 WD
