APPLUS EBENE;APPLUS BEZEICHNUNG;APPLUS ARTIKELNUMMER;APPLUS MENGE;APPLUS MENGENEINHEIT;APPLUS ARTIKELGRUPPE;APPLUS PROFILLÄNGE;APPLUS FLÄCHE;APPLUS STANDARDPROFILLÄNGE;APPLUS STANDARDFLÄCHE;APPLUS EINKAUF;APPLUS LAGER;APPLUS FERTIGUNG;APPLUS AUFTRAG;APPLUS LÄNGE;APPLUS BREITE;APPLUS WAND ID;APPLUS BSU ID;APPLUS KLEINTEILBEZEICHNUNG;APPLUS KLEINTEILSCHLÜSSEL;APPLUS KLEINTEILARTIKELNUMMER
4;Platte- GK-Platte Weather Defence (1200 x 1907);1001960;1;Stück;Platte;;2,2884;;3;1;1;0;0;1907;1200;Wand 4 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;3;;3,125;1;1;0;0;1250;2400;Wand 3 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;3;;3,125;1;1;0;0;1250;2400;Wand 3 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;0,9699;;3,125;1;1;0;0;1250;2400;Wand 1 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,5;;3,125;1;1;0;0;1250;2400;Wand 1 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1138);10020999;1;Stück;Platte;;2,7312;;3,125;1;1;0;0;1138;2400;Wand 4 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 645);10020999;1;Stück;Platte;;1,548;;3,125;1;1;0;0;645;2400;Wand 4 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1143);10020999;1;Stück;Platte;;2,7432;;3,125;1;1;0;0;1143;2400;Wand 4 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 558);10020999;1;Stück;Platte;;1,3392;;3,125;1;1;0;0;558;2400;Wand 4 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1230);10020999;1;Stück;Platte;;2,9508;;3,125;1;1;0;0;1230;2400;Wand 4 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 514);10020999;1;Stück;Platte;;1,2324;;3,125;1;1;0;0;514;2400;Wand 4 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;3;;3,125;1;1;0;0;1250;2400;Wand 4 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 645);10020999;1;Stück;Platte;;1,548;;3,125;1;1;0;0;645;2400;Wand 4 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1143);10020999;1;Stück;Platte;;2,7432;;3,125;1;1;0;0;1143;2400;Wand 4 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 558);10020999;1;Stück;Platte;;1,3392;;3,125;1;1;0;0;558;2400;Wand 4 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1230);10020999;1;Stück;Platte;;2,952;;3,125;1;1;0;0;1230;2400;Wand 4 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 625);10020999;1;Stück;Platte;;1,5;;3,125;1;1;0;0;625;2400;Wand 4 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- GK-Platte Weather Defence (1200 x 1907);1001960;1;Stück;Platte;;2,2884;;3;1;1;0;0;1907;1200;Wand 4 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 1701);1001960;1;Stück;Platte;;2,0412;;3;1;1;0;0;1701;1200;Wand 4 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 1701);1001960;1;Stück;Platte;;2,0412;;3;1;1;0;0;1701;1200;Wand 4 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 1867);1001960;1;Stück;Platte;;2,2404;;3;1;1;0;0;1867;1200;Wand 4 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- Standardplatte OSB 3 (2400 x 738);10020999;1;Stück;Platte;;1,77;;3,125;1;1;0;0;738;2400;Wand 3 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 738);10020999;1;Stück;Platte;;1,77;;3,125;1;1;0;0;738;2400;Wand 3 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;3;;3,125;1;1;0;0;1250;2400;Wand 3 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- GK-Platte Weather Defence (1200 x 2000);1001960;1;Stück;Platte;;2,4;;3;1;1;0;0;2000;1200;Wand 3 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 750);1001960;1;Stück;Platte;;0,9;;3;1;1;0;0;750;1200;Wand 3 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 2000);1001960;1;Stück;Platte;;2,4;;3;1;1;0;0;2000;1200;Wand 3 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 750);1001960;1;Stück;Platte;;0,9;;3;1;1;0;0;750;1200;Wand 3 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;1,676806;;3,125;1;1;0;0;1250;2400;Wand 1 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 738);10020999;1;Stück;Platte;;1,498313;;3,125;1;1;0;0;738;2400;Wand 1 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 738);10020999;1;Stück;Platte;;0,733469;;3,125;1;1;0;0;738;2400;Wand 1 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- GK-Platte Weather Defence (1200 x 1490);1001960;1;Stück;Platte;;1,788;;3;1;1;0;0;1490;1200;Wand 1 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 1375);1001960;1;Stück;Platte;;1,15;;3;1;1;0;0;1375;1200;Wand 1 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 1375);1001960;1;Stück;Platte;;0,8319;;3;1;1;0;0;1375;1200;Wand 1 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 250);1001960;1;Stück;Platte;;0,3;;3;1;1;0;0;250;1200;Wand 1 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- Standardplatte OSB 3 (2400 x 369);10020999;1;Stück;Platte;;0,37185;;3,125;1;1;0;0;369;2400;Wand 2 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1082);10020999;1;Stück;Platte;;1,07805;;3,125;1;1;0;0;1082;2400;Wand 2 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 417);10020999;1;Stück;Platte;;0,711394;;3,125;1;1;0;0;417;2400;Wand 2 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1106);10020999;1;Stück;Platte;;0,848119;;3,125;1;1;0;0;1106;2400;Wand 2 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,5023;;3,125;1;1;0;0;1250;2400;Wand 2 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 561);10020999;1;Stück;Platte;;1,188359;;3,125;1;1;0;0;561;2400;Wand 2 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,531356;;3,125;1;1;0;0;1250;2400;Wand 2 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 562);10020999;1;Stück;Platte;;1,205453;;3,125;1;1;0;0;562;2400;Wand 2 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,503239;;3,125;1;1;0;0;1250;2400;Wand 2 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 868);10020999;1;Stück;Platte;;1,923202;;3,125;1;1;0;0;868;2400;Wand 2 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 715);10020999;1;Stück;Platte;;1,495741;;3,125;1;1;0;0;715;2400;Wand 2 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,60725;;3,125;1;1;0;0;1250;2400;Wand 2 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- GK-Platte Weather Defence (1200 x 238);1001960;1;Stück;Platte;;0,285;;3;1;1;0;0;238;1200;Wand 2 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 287);1001960;1;Stück;Platte;;0,3438;;3;1;1;0;0;287;1200;Wand 2 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 1534);1001960;1;Stück;Platte;;1,0227;;3;1;1;0;0;1534;1200;Wand 2 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 1811);1001960;1;Stück;Platte;;2,173454;;3;1;1;0;0;1811;1200;Wand 2 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 1811);1001960;1;Stück;Platte;;1,560954;;3;1;1;0;0;1811;1200;Wand 2 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 2130);1001960;1;Stück;Platte;;2,555746;;3;1;1;0;0;2130;1200;Wand 2 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 2130);1001960;1;Stück;Platte;;1,943246;;3;1;1;0;0;2130;1200;Wand 2 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;3;1;1;0;0;112;525;Wand 2 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;3;1;1;0;0;112;525;Wand 2 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;3;1;1;0;0;112;525;Wand 2 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;3;1;1;0;0;112;525;Wand 2 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (2021 x 112);1001960;1;Stück;Platte;;0,226352;;3;1;1;0;0;112;2021;Wand 2 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (2021 x 112);1001960;1;Stück;Platte;;0,226352;;3;1;1;0;0;112;2021;Wand 2 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (2021 x 112);1001960;1;Stück;Platte;;0,226352;;3;1;1;0;0;112;2021;Wand 1 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (2021 x 112);1001960;1;Stück;Platte;;0,226352;;3;1;1;0;0;112;2021;Wand 1 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;3;1;1;0;0;112;525;Wand 1 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;3;1;1;0;0;112;525;Wand 1 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 1867);1001960;1;Stück;Platte;;2,2404;;3;1;1;0;0;1867;1200;Wand 4 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Profil-4410 (Z2501) ;1000009;1;Stück;Profil;2501;;5000;;1;1;0;0;;;Wand 1 Profile ;21;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil-4410 (Z1875) ;1000009;1;Stück;Profil;1875;;5000;;1;1;0;0;;;Wand 4 Profile ;21;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil-4410 (Z1542) ;1000009;1;Stück;Profil;1542;;5000;;1;1;0;0;;;Wand 2 Profile ;21;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil-4410 (Z2501) ;1000009;1;Stück;Profil;2501;;5000;;1;1;0;0;;;Wand 3 Profile ;21;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 1 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 1 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 1 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 2 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 1 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
